1767,,,,,821,Domeinnaambeleid,Websitetest Internet.nl,,,,,,,,,,,E-mailtest Internet.nl,,,,,,,,,565
URL,Organisatietype,Organisatie,Suborganisatie,Afdeling,Bezoeken/mnd,Voldoet,Totaal,IPv6,DNSSEC,HTTPS,CSP,RefPol.,X-Cont.,X-Frame.,SecurityTxt,RPKI,Testdatum,Totaal,IPv6,DNSSEC,STARTTLS en DANE,DMARC,DKIM,SPF,RPKI,Testdatum,Platformgebruik
http://www.justid.nl,Rijksoverheid,JenV (Ministerie van Justitie en Veiligheid),Justid (Justitiële Informatiedienst),,103529,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.verbeterjehuis.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,,102886,nee,ja,ja,ja,ja,waarschuwing,ja,ja,ja,waarschuwing,ja,2024-06-20 20:39:33,nee,ja,ja,,waarschuwing,nee,ja,ja,2024-06-13 19:37:23
http://www.volkshuisvestingnederland.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,,102688,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-21 02:02:41,ja,ja,ja,,ja,,ja,ja,2024-06-13 22:13:33,Platform Rijksoverheid Online (AZ/DPC)
http://www.dji.nl,Rijksoverheid,JenV (Ministerie van Justitie en Veiligheid),DJI (Dienst Justitiële Inrichtingen),,98231,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.ilent.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),ILT (Inspectie Leefomgeving en Transport),,96775,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,ja,ja,ja,,ja,,ja,ja,2024-06-13 19:37:23,Platform Rijksoverheid Online (AZ/DPC)
http://www.cbi.eu,Rijksoverheid,BZ (Ministerie van Buitenlandse Zaken),RVO (Rijksdienst voor Ondernemend Nederland),,93499,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:39:33,nee,ja,ja,ja,ja,nee,ja,ja,2024-06-13 19:37:23
http://werkenbij.rijkswaterstaat.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),RWS (Rijkswaterstaat),,92982,ja,nee,nee,ja,ja,waarschuwing,waarschuwing,waarschuwing,ja,ja,ja,2024-06-20 19:28:23,ja,ja,ja,,ja,,ja,ja,2024-06-13 18:59:42
http://magazines.defensie.nl,Rijksoverheid,DEF (Ministerie van Defensie),,Directie Communicatie,92003,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 17:44:41,ja,ja,ja,,ja,,ja,ja,2024-06-13 17:45:00,Platform Rijksoverheid Online (AZ/DPC)
http://overstroomik.nl,Rijksoverheid,IenW (Ministerie van Infrastructuur en Waterstaat),RWS (Rijkswaterstaat),,85185,ja,nee,nee,ja,nee,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 18:12:22,ja,ja,ja,,ja,,ja,ja,2024-06-13 18:06:01
http://www.ep-online.nl,Rijksoverheid,BZK (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties),,,80555,ja,ja,ja,ja,ja,waarschuwing,ja,ja,ja,ja,ja,2024-06-20 20:56:14,nee,ja,ja,,ja,nee,nee,ja,2024-06-13 19:43:03
